word,pinyin,start,file
席地而坐,"['xi', 'di', 'er', 'zuo']",0:10:09.640000,/home/indigo6a/Documents/projects/orc/srt/第一部/[神探狄仁杰1无台标版].Shen.Tan.Di.Ren.Jie.Complete.01.1080P.PPTV原画.x264.srt
做贼心虚,"['zuo', 'zei', 'xin', 'xu']",0:41:39.800000,/home/indigo6a/Documents/projects/orc/srt/第二部/神探狄仁杰第二部22.srt
虚张声势,"['xu', 'zhang', 'sheng', 'shi']",0:28:40.900000,/home/indigo6a/Documents/projects/orc/srt/第二部/神探狄仁杰第二部25.srt
事不宜迟,"['shi', 'bu', 'yi', 'chi']",0:34:46.900000,/home/indigo6a/Documents/projects/orc/srt/第二部/神探狄仁杰第二部36.srt
迟暮之年,"['chi', 'mu', 'zhi', 'nian']",0:42:14.270000,/home/indigo6a/Documents/projects/orc/srt/第一部/[神探狄仁杰1无台标版].Shen.Tan.Di.Ren.Jie.Complete.28.1080P.PPTV原画.x264.srt
年逾古稀,"['nian', 'yu', 'gu', 'xi']",0:19:00.980000,/home/indigo6a/Documents/projects/orc/srt/第一部/[神探狄仁杰1无台标版].Shen.Tan.Di.Ren.Jie.Complete.22.1080P.PPTV原画.x264.srt
息息相关,"['xi', 'xi', 'xiang', 'guan']",0:11:51.920000,/home/indigo6a/Documents/projects/orc/srt/第三部/神探狄仁杰3-39.srt
鳏寡孤独,"['guan', 'gua', 'gu', 'du']",0:18:35.200000,/home/indigo6a/Documents/projects/orc/srt/第二部/神探狄仁杰第二部38.srt
毒蛇猛兽,"['du', 'she', 'meng', 'shou']",0:26:07.840000,/home/indigo6a/Documents/projects/orc/srt/第二部/神探狄仁杰第二部21.srt
守口如瓶,"['shou', 'kou', 'ru', 'ping']",0:07:10.080000,/home/indigo6a/Documents/projects/orc/srt/第二部/神探狄仁杰第二部08.srt
平淡无奇,"['ping', 'dan', 'wu', 'qi']",0:21:32.466000,/home/indigo6a/Documents/projects/orc/srt/第二部/神探狄仁杰第二部30.srt
岂有此理,"['qi', 'you', 'ci', 'li']",0:23:45.600000,/home/indigo6a/Documents/projects/orc/srt/第二部/神探狄仁杰第二部04.srt
里应外合,"['li', 'ying', 'wai', 'he']",0:32:33.180000,/home/indigo6a/Documents/projects/orc/srt/第一部/[神探狄仁杰1无台标版].Shen.Tan.Di.Ren.Jie.Complete.11.1080P.PPTV原画.x264.srt
